Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
24/12/2025	TN39CV3261	1	6	No	2025-12-27T08:40:37.193Z
24/12/2025	TN39CV3261	1	22	No	2025-12-27T08:40:38.444Z
24/12/2025	TN39CV3261	1	05	No	2025-12-27T08:40:38.937Z
24/12/2025	TN39CV3261	1	03	No	2025-12-27T08:40:39.246Z
24/12/2025	TN39CV3261	1	01	No	2025-12-27T08:40:39.749Z
24/12/2025	TN39CV3261	1	103	No	2025-12-27T08:40:40.068Z
24/12/2025	TN39CV3261	1	99	No	2025-12-27T08:40:40.671Z
24/12/2025	TN39CV3261	1	98	No	2025-12-27T08:40:41.013Z
24/12/2025	TN39CV3261	1	02	No	2025-12-27T08:40:41.544Z
24/12/2025	TN39CV3261	1	13	No	2025-12-27T08:40:41.899Z
24/12/2025	TN39CV3261	1	16	No	2025-12-27T08:40:42.198Z
24/12/2025	TN39CV3261	1	20	No	2025-12-27T08:40:42.501Z
24/12/2025	TN39CV3261	1	18	No	2025-12-27T08:40:42.820Z
24/12/2025	TN39CV3261	1	15	No	2025-12-27T08:40:43.127Z
24/12/2025	TN39CV3261	1	07	No	2025-12-27T08:40:43.742Z
24/12/2025	TN39CV3261	1	11	No	2025-12-27T08:40:44.062Z
24/12/2025	TN39CV3261	1	21	No	2025-12-27T08:40:44.364Z
24/12/2025	TN39CV3261	1	10	No	2025-12-27T08:40:44.685Z
24/12/2025	TN39CV3261	1	08	No	2025-12-27T08:40:44.991Z
24/12/2025	TN39CV3261	1	09	No	2025-12-27T08:40:45.290Z
24/12/2025	TN39CV3261	1	04	No	2025-12-27T08:40:45.593Z
24/12/2025	TN39CV3261	1	25	No	2025-12-27T08:40:46.199Z
24/12/2025	TN39CV3261	1	24	No	2025-12-27T08:40:47.132Z
24/12/2025	TN39CV3261	1	19	No	2025-12-27T08:40:47.454Z
24/12/2025	TN39CV3261	1	23	No	2025-12-27T08:40:47.754Z
24/12/2025	TN39CV3261	1	12	No	2025-12-27T08:40:48.349Z
24/12/2025	TN39CV3261	1	14	No	2025-12-27T08:40:48.963Z
24/12/2025	TN39CV3261	1	17	No	2025-12-27T08:40:49.269Z
24/12/2025	TN39CV3261	2	85	No	2025-12-27T08:40:49.887Z
24/12/2025	TN39CV3261	2	79	No	2025-12-27T08:40:50.194Z
24/12/2025	TN39CV3261	2	90	No	2025-12-27T08:40:50.501Z
24/12/2025	TN39CV3261	2	83	No	2025-12-27T08:40:50.802Z
24/12/2025	TN39CV3261	2	80	No	2025-12-27T08:40:51.114Z
24/12/2025	TN39CV3261	2	27	No	2025-12-27T08:40:51.429Z
24/12/2025	TN39CV3261	2	89	No	2025-12-27T08:40:51.747Z
24/12/2025	TN39CV3261	2	28	No	2025-12-27T08:40:52.051Z
24/12/2025	TN39CV3261	2	35	No	2025-12-27T08:40:52.357Z
24/12/2025	TN39CV3261	2	60	No	2025-12-27T08:40:52.958Z
24/12/2025	TN39CV3261	2	34	No	2025-12-27T08:40:53.284Z
24/12/2025	TN39CV3261	2	82	No	2025-12-27T08:40:53.585Z
24/12/2025	TN39CV3261	2	38	No	2025-12-27T08:40:53.894Z
24/12/2025	TN39CV3261	2	58	No	2025-12-27T08:40:54.192Z
24/12/2025	TN39CV3261	2	31	No	2025-12-27T08:40:54.496Z
24/12/2025	TN39CV3261	2	54	No	2025-12-27T08:40:54.812Z
24/12/2025	TN39CV3261	2	81	No	2025-12-27T08:40:55.415Z
24/12/2025	TN39CV3261	2	61	No	2025-12-27T08:40:55.736Z
24/12/2025	TN39CV3261	2	78	No	2025-12-27T08:40:56.141Z
24/12/2025	TN39CV3261	2	57	No	2025-12-27T08:40:56.567Z
24/12/2025	TN39CV3261	2	84	No	2025-12-27T08:40:56.877Z
24/12/2025	TN39CV3261	2	62	No	2025-12-27T08:40:57.179Z
24/12/2025	TN39CV3261	2	49	No	2025-12-27T08:40:57.873Z
24/12/2025	TN39CV3261	2	59	No	2025-12-27T08:40:58.198Z
24/12/2025	TN39CV3261	2	52	No	2025-12-27T08:40:58.498Z
24/12/2025	TN39CV3261	2	30	No	2025-12-27T08:40:59.102Z
24/12/2025	TN39CV3261	2	39	No	2025-12-27T08:40:59.717Z
24/12/2025	TN39CV3261	2	67	No	2025-12-27T08:41:00.098Z
24/12/2025	TN39CV3261	2	47	No	2025-12-27T08:41:00.395Z
24/12/2025	TN39CV3261	2	64	No	2025-12-27T08:41:00.945Z
24/12/2025	TN39CV3261	2	26	No	2025-12-27T08:41:01.270Z
24/12/2025	TN39CV3261	2	86	No	2025-12-27T08:41:01.567Z
24/12/2025	TN39CV3261	2	72	No	2025-12-27T08:41:01.875Z
24/12/2025	TN39CV3261	2	65	No	2025-12-27T08:41:02.845Z
24/12/2025	TN39CV3261	2	48	No	2025-12-27T08:41:03.405Z
24/12/2025	TN39CV3261	2	66	No	2025-12-27T08:41:04.017Z
24/12/2025	TN39CV3261	2	53	No	2025-12-27T08:41:04.631Z
24/12/2025	TN39CV3261	2	87	No	2025-12-27T08:41:05.245Z
24/12/2025	TN39CV3261	2	50	No	2025-12-27T08:41:05.773Z
24/12/2025	TN39CV3261	2	63	No	2025-12-27T08:41:06.070Z
24/12/2025	TN39CV3261	2	32	No	2025-12-27T08:41:06.475Z
24/12/2025	TN39CV3261	2	77	No	2025-12-27T08:41:06.783Z
24/12/2025	TN39CV3261	2	88	No	2025-12-27T08:41:07.396Z
24/12/2025	TN39DA7698	1	726	No	2025-12-27T08:41:08.625Z
24/12/2025	TN39DA7698	1	705	No	2025-12-27T08:41:09.240Z
24/12/2025	TN39DA7698	1	725	No	2025-12-27T08:41:09.853Z
24/12/2025	TN39DA7698	1	703	No	2025-12-27T08:41:10.467Z
24/12/2025	TN39DA7698	1	728	No	2025-12-27T08:41:10.775Z
24/12/2025	TN39DA7698	1	654	No	2025-12-27T08:41:11.080Z
24/12/2025	TN39DA7698	1	727	No	2025-12-27T08:41:11.391Z
24/12/2025	TN39DA7698	1	33	No	2025-12-27T08:41:11.703Z
24/12/2025	TN39DA7698	1	782	No	2025-12-27T08:41:12.096Z
24/12/2025	TN39DA7698	1	69	No	2025-12-27T08:41:12.395Z
24/12/2025	TN39DA7698	1	781	No	2025-12-27T08:41:13.163Z
24/12/2025	TN39DA7698	1	71	No	2025-12-27T08:41:13.505Z
24/12/2025	TN39DA7698	1	76	No	2025-12-27T08:41:13.837Z
24/12/2025	TN39DA7698	1	73	No	2025-12-27T08:41:14.462Z
24/12/2025	TN39DA7698	1	791	No	2025-12-27T08:41:15.076Z
24/12/2025	TN39DA7698	1	75	No	2025-12-27T08:41:15.406Z
24/12/2025	TN39DA7698	1	783	No	2025-12-27T08:41:15.998Z
24/12/2025	TN39DA7698	1	74	No	2025-12-27T08:41:16.326Z
24/12/2025	TN39DA7698	1	710	No	2025-12-27T08:41:16.625Z
24/12/2025	TN39DA7698	1	40	No	2025-12-27T08:41:17.225Z
24/12/2025	TN39DA7698	1	687	No	2025-12-27T08:41:17.873Z
24/12/2025	TN39DA7698	1	46	No	2025-12-27T08:41:18.291Z
24/12/2025	TN39DA7698	1	706	No	2025-12-27T08:41:18.614Z
24/12/2025	TN39DA7698	1	56	No	2025-12-27T08:41:19.186Z
24/12/2025	TN39DA7698	1	707	No	2025-12-27T08:41:19.685Z
24/12/2025	TN39DA7698	1	29	No	2025-12-27T08:41:19.992Z
24/12/2025	TN39DA7698	1	690	No	2025-12-27T08:41:20.303Z
24/12/2025	TN39DA7698	1	41	No	2025-12-27T08:41:20.913Z
24/12/2025	TN39DA7698	1	68	No	2025-12-27T08:41:21.527Z
24/12/2025	TN39DA7698	1	70	No	2025-12-27T08:41:21.842Z
24/12/2025	TN39DA7698	1	708	No	2025-12-27T08:41:22.450Z
24/12/2025	TN39DA7698	1	45	No	2025-12-27T08:41:22.782Z
24/12/2025	TN39DA7698	1	785	No	2025-12-27T08:41:23.092Z
24/12/2025	TN39DA7698	1	44	No	2025-12-27T08:41:23.677Z
24/12/2025	TN39DA7698	1	711	No	2025-12-27T08:41:24.199Z
24/12/2025	TN39DA7698	1	43	No	2025-12-27T08:41:24.511Z
24/12/2025	TN39DA7698	1	704	No	2025-12-27T08:41:24.809Z
24/12/2025	TN39DA7698	1	55	No	2025-12-27T08:41:25.214Z
24/12/2025	TN39DA7698	1	36	No	2025-12-27T08:41:25.828Z
24/12/2025	TN39DA7698	1	709	No	2025-12-27T08:41:26.443Z
25/12/2025	TN59AT0877	1	949	No	2025-12-27T08:49:38.272Z
25/12/2025	TN59AT0877	1	1061	No	2025-12-27T08:49:38.911Z
25/12/2025	TN59AT0877	1	898	No	2025-12-27T08:49:39.215Z
25/12/2025	TN59AT0877	1	913	No	2025-12-27T08:49:39.737Z
25/12/2025	TN59AT0877	1	934	No	2025-12-27T08:49:40.065Z
25/12/2025	TN59AT0877	1	1007	No	2025-12-27T08:49:40.421Z
25/12/2025	TN59AT0877	1	1054	No	2025-12-27T08:49:40.729Z
25/12/2025	TN59AT0877	1	1077	No	2025-12-27T08:49:41.033Z
